model,feature,category,selection_mean_ic,selection_abs_ic,sign_multiplier
rank_signed_anti_crowded38,macro_tbl,macro,-0.1366042703034022,0.1366042703034022,-1
rank_signed_anti_crowded38,macro_ntis,macro,0.0873602333495381,0.0873602333495381,1
rank_signed_anti_crowded38,idiovol,risk_liquidity,-0.0813306049541194,0.0813306049541194,-1
rank_signed_anti_crowded38,baspread,risk_liquidity,-0.0787025757324581,0.0787025757324581,-1
rank_signed_anti_crowded38,retvol,risk_liquidity,-0.074307731028028,0.074307731028028,-1
rank_signed_anti_crowded38,mvel1,value,0.0661320211932756,0.0661320211932756,1
rank_signed_anti_crowded38,maxret,risk_liquidity,-0.0640541714988497,0.0640541714988497,-1
rank_signed_anti_crowded38,mom12m,momentum,0.0632801954594133,0.0632801954594133,1
rank_signed_anti_crowded38,ep,value,0.0576811250221905,0.0576811250221905,1
rank_signed_anti_crowded38,macro_tms,macro,0.0541398343307579,0.0541398343307579,1
rank_signed_anti_crowded38,roic,profitability_quality,0.047479986413749,0.047479986413749,1
rank_signed_anti_crowded38,cfp,value,0.0447828548373554,0.0447828548373554,1
rank_signed_anti_crowded38,operprof,profitability_quality,0.0447112837497772,0.0447112837497772,1
rank_signed_anti_crowded38,cashdebt,profitability_quality,0.0436674576386241,0.0436674576386241,1
rank_signed_anti_crowded38,dy,value,0.0428868474577524,0.0428868474577524,1
rank_signed_anti_crowded38,mom6m,momentum,0.0379157083163475,0.0379157083163475,1
rank_signed_anti_crowded38,age,intangibles_attention,0.0347261858574745,0.0347261858574745,1
rank_signed_anti_crowded38,cfp_ia,value,0.0337273796567646,0.0337273796567646,1
rank_signed_anti_crowded38,roavol,intangibles_attention,-0.033506089310905,0.033506089310905,-1
rank_signed_anti_crowded38,tb,accounting_balance,0.0328170866196533,0.0328170866196533,1
rank_signed_anti_crowded38,roeq,profitability_quality,0.0308094896012618,0.0308094896012618,1
rank_signed_anti_crowded38,ps,value,0.030373433920957,0.030373433920957,1
rank_signed_anti_crowded38,roaq,profitability_quality,0.0275249782188685,0.0275249782188685,1
rank_signed_anti_crowded38,mom36m,momentum,0.0263273728060259,0.0263273728060259,1
